"Table 8: Age-specific percentages of health status, by IMD, by sex and age in England, 2021 [Notes 1 to 11]",,,,,,,,,,,,,
"Census 2021, England",,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,
Back to contents (this text contains a link),,,,,,,,,,,,,
Year,Country,Health Status,Sex,Age,IMD Decile,Count,Population,Age-specific Percentage,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Notes,,
2021,England,Very good,Male,50 to 54,7,"81,070","195,965",41.4,41.1,41.7,[z],,
2021,England,Very good,Male,55 to 59,7,"73,700","197,005",37.4,37.1,37.7,[z],,
2021,England,Very good,Male,60 to 64,7,"55,345","171,225",32.3,32.1,32.6,[z],,
2021,England,Very good,Male,65 to 69,7,"40,225","148,475",27.1,26.8,27.4,[z],,
2021,England,Very good,Male,70 to 74,7,"34,435","153,320",22.5,22.2,22.7,[z],,
2021,England,Very good,Male,75 to 79,7,"19,325","111,330",17.4,17.1,17.6,[z],,
2021,England,Very good,Male,80 to 84,7,"9,765","73,790",13.2,13,13.5,[z],,
2021,England,Very good,Male,85 to 89,7,"3,465","41,340",8.4,8.1,8.7,[z],,
2021,England,Very good,Male,90+,7,"1,080","18,710",5.8,5.4,6.1,[z],,
2021,England,Very good,Male,Under 1,8,"22,265","25,610",86.9,85.8,88.1,[z],,
2021,England,Very good,Male,1 to 4,8,"98,810","114,155",86.6,86,87.1,[z],,
2021,England,Very good,Male,5 to 9,8,"131,400","154,875",84.8,84.4,85.3,[z],,
2021,England,Very good,Male,10 to 14,8,"132,460","161,800",81.9,81.4,82.3,[z],,
2021,England,Very good,Male,15 to 19,8,"119,315","156,425",76.3,75.8,76.7,[z],,
2021,England,Very good,Male,20 to 24,8,"101,965","150,965",67.5,67.1,68,[z],,
2021,England,Very good,Male,25 to 29,8,"102,850","160,275",64.2,63.8,64.6,[z],,
2021,England,Very good,Male,30 to 34,8,"101,920","168,915",60.3,60,60.7,[z],,
